PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2023,21,X,2.89984,X,X,X,X,X,X,8133,198,280464
States,Florida,2023,21,X,2.88768,X,X,X,X,X,X,7101,358,245907
States,Louisiana,2023,21,X,1.1881,X,X,X,X,X,X,507,87,42673
States,Mississippi,2023,21,X,2.24283,X,X,X,X,X,X,266,29,11860
States,New Mexico,2023,21,X,2.40318,X,X,X,X,X,X,489,35,20348
States,Texas,2023,21,X,2.55126,X,X,X,X,X,X,708,41,27751
States,Alabama,2023,22,X,1.5171,X,X,X,X,X,X,684,105,45086
States,Arizona,2023,22,X,1.10605,X,X,X,X,X,X,226,43,20433
States,California,2023,22,X,3.0799,X,X,X,X,X,X,7630,199,247735
States,Florida,2023,22,X,3.15908,X,X,X,X,X,X,7702,358,243805
States,Louisiana,2023,22,X,1.22262,X,X,X,X,X,X,518,87,42368
States,Mississippi,2023,22,X,1.76426,X,X,X,X,X,X,188,28,10656
States,New Mexico,2023,22,X,2.25624,X,X,X,X,X,X,482,38,21363
States,Texas,2023,22,X,2.24826,X,X,X,X,X,X,1086,51,48304
States,Alabama,2023,23,X,1.25688,X,X,X,X,X,X,573,105,45589
States,Arizona,2023,23,X,0.981158,X,X,X,X,X,X,201,41,20486
States,California,2023,23,X,2.84894,X,X,X,X,X,X,7683,196,269679
States,Florida,2023,23,X,2.69078,X,X,X,X,X,X,6375,358,236920
States,Louisiana,2023,23,X,0.931803,X,X,X,X,X,X,389,87,41747
States,Mississippi,2023,23,X,1.67878,X,X,X,X,X,X,194,30,11556
States,New Mexico,2023,23,X,1.91323,X,X,X,X,X,X,385,39,20123
States,Texas,2023,23,X,1.45601,X,X,X,X,X,X,696,50,47802
States,Alabama,2023,24,X,1.2226,X,X,X,X,X,X,551,104,45068
States,Arizona,2023,24,X,0.848839,X,X,X,X,X,X,177,43,20852
States,California,2023,24,X,2.68056,X,X,X,X,X,X,7081,198,264161
States,Florida,2023,24,X,2.39989,X,X,X,X,X,X,5726,358,238594
States,Louisiana,2023,24,X,0.730099,X,X,X,X,X,X,309,87,42323
States,Mississippi,2023,24,X,1.56103,X,X,X,X,X,X,183,31,11723
States,New Mexico,2023,24,X,1.78296,X,X,X,X,X,X,370,39,20752
States,Texas,2023,24,X,1.58116,X,X,X,X,X,X,752,50,47560
States,Alabama,2023,25,X,0.945887,X,X,X,X,X,X,412,100,43557
States,Arizona,2023,25,X,0.809995,X,X,X,X,X,X,177,43,21852
States,California,2023,25,X,2.50331,X,X,X,X,X,X,6583,201,262972
States,Florida,2023,25,X,2.29832,X,X,X,X,X,X,5377,358,233953
States,Louisiana,2023,25,X,0.767662,X,X,X,X,X,X,320,87,41685
States,Mississippi,2023,25,X,1.5114,X,X,X,X,X,X,177,29,11711
States,New Mexico,2023,25,X,1.61704,X,X,X,X,X,X,334,39,20655
States,Texas,2023,25,X,1.34379,X,X,X,X,X,X,653,49,48594
States,Alabama,2023,26,X,0.889341,X,X,X,X,X,X,411,103,46214
States,Arizona,2023,26,X,0.753198,X,X,X,X,X,X,159,44,21110
States,California,2023,26,X,2.3684,X,X,X,X,X,X,6211,198,262245
States,Florida,2023,26,X,2.14313,X,X,X,X,X,X,5118,358,238810
States,Louisiana,2023,26,X,0.707464,X,X,X,X,X,X,300,87,42405
States,Mississippi,2023,26,X,1.20403,X,X,X,X,X,X,128,25,10631
States,New Mexico,2023,26,X,1.21613,X,X,X,X,X,X,250,38,20557
States,Texas,2023,26,X,1.54249,X,X,X,X,X,X,790,51,51216
States,Alabama,2023,27,X,0.955751,X,X,X,X,X,X,424,103,44363
States,Arizona,2023,27,X,0.635386,X,X,X,X,X,X,130,43,20460
States,California,2023,27,X,2.3328,X,X,X,X,X,X,5465,198,234268
States,Florida,2023,27,X,2.12382,X,X,X,X,X,X,4981,357,234530
States,Louisiana,2023,27,X,0.678706,X,X,X,X,X,X,280,87,41255
States,Mississippi,2023,27,X,1.27222,X,X,X,X,X,X,131,26,10297
States,New Mexico,2023,27,X,1.39766,X,X,X,X,X,X,279,38,19962
States,Texas,2023,27,X,1.4232,X,X,X,X,X,X,670,51,47077
States,Alabama,2023,28,X,1.03954,X,X,X,X,X,X,489,104,47040
States,Arizona,2023,28,X,0.63795,X,X,X,X,X,X,113,33,17713
States,California,2023,28,X,1.9623,X,X,X,X,X,X,5019,195,255771
States,Florida,2023,28,X,2.0815,X,X,X,X,X,X,4953,358,237953
States,Louisiana,2023,28,X,0.83885,X,X,X,X,X,X,351,87,41843
States,Mississippi,2023,28,X,1.36771,X,X,X,X,X,X,148,27,10821
States,New Mexico,2023,28,X,1.2728,X,X,X,X,X,X,261,38,20506
States,Texas,2023,28,X,1.46691,X,X,X,X,X,X,703,50,47924
States,Alabama,2023,29,X,0.982428,X,X,X,X,X,X,459,105,46721
States,Arizona,2023,29,X,0.535,X,X,X,X,X,X,95,33,17757
States,California,2023,29,X,1.84611,X,X,X,X,X,X,4747,195,257135
