"National Healthcare Safety Network (NHSN) Hospitalization Surveillance (downloaded on "Nov-14-2024)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,4.26
202403,2023-24,Average patients with influenza in ICU,2,HHS Region,162.57
202403,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,1101.57
202403,2023-24,Influenza Hospital Admissions,3,HHS Region,1145
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,3.71
202403,2023-24,Average patients with influenza in ICU,3,HHS Region,176.71
202403,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,2860.86
202403,2023-24,Influenza Hospital Admissions,4,HHS Region,2737
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,4.09
202403,2023-24,Average patients with influenza in ICU,4,HHS Region,560.71
202403,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1380.71
202403,2023-24,Influenza Hospital Admissions,5,HHS Region,1786
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,3.4
202403,2023-24,Average patients with influenza in ICU,5,HHS Region,218.71
202403,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1318
202403,2023-24,Influenza Hospital Admissions,6,HHS Region,2006
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,4.7
202403,2023-24,Average patients with influenza in ICU,6,HHS Region,229.29
202403,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,365
202403,2023-24,Influenza Hospital Admissions,7,HHS Region,457
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,3.23
202403,2023-24,Average patients with influenza in ICU,7,HHS Region,71.29
202403,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,305.43
202403,2023-24,Influenza Hospital Admissions,8,HHS Region,383
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,3.12
202403,2023-24,Average patients with influenza in ICU,8,HHS Region,43.14
202403,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1351
202403,2023-24,Influenza Hospital Admissions,9,HHS Region,1785
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,3.48
202403,2023-24,Average patients with influenza in ICU,9,HHS Region,202
202403,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,234.86
202403,2023-24,Influenza Hospital Admissions,10,HHS Region,322
202403,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,2.24
202403,2023-24,Average patients with influenza in ICU,10,HHS Region,33.29
202404,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,482.43
202404,2023-24,Influenza Hospital Admissions,1,HHS Region,610
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,4.11
202404,2023-24,Average patients with influenza in ICU,1,HHS Region,70.71
202404,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,1029.86
202419,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,257.71
202419,2023-24,Influenza Hospital Admissions,5,HHS Region,94
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.18
202419,2023-24,Average patients with influenza in ICU,5,HHS Region,11
202419,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,28.14
202419,2023-24,Influenza Hospital Admissions,6,HHS Region,42
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.1
202419,2023-24,Average patients with influenza in ICU,6,HHS Region,4.29
202419,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,21
202419,2023-24,Influenza Hospital Admissions,7,HHS Region,23
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.16
202419,2023-24,Average patients with influenza in ICU,7,HHS Region,2.57
202419,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,11.86
202419,2023-24,Influenza Hospital Admissions,8,HHS Region,18
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.15
202419,2023-24,Average patients with influenza in ICU,8,HHS Region,1.43
202419,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,83.43
202419,2023-24,Influenza Hospital Admissions,9,HHS Region,119
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.23
202419,2023-24,Average patients with influenza in ICU,9,HHS Region,7.86
202419,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,37.57
202419,2023-24,Influenza Hospital Admissions,10,HHS Region,52
202419,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.36
202419,2023-24,Average patients with influenza in ICU,10,HHS Region,5.14
202420,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,38.71
202420,2023-24,Influenza Hospital Admissions,1,HHS Region,14
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.09
202420,2023-24,Average patients with influenza in ICU,1,HHS Region,3.86
202420,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,64.14
202420,2023-24,Influenza Hospital Admissions,2,HHS Region,69
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.22
202420,2023-24,Average patients with influenza in ICU,2,HHS Region,7.29
202420,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,118.43
202420,2023-24,Influenza Hospital Admissions,3,HHS Region,134
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.43
202420,2023-24,Average patients with influenza in ICU,3,HHS Region,27.43
202420,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,121.71
202420,2023-24,Influenza Hospital Admissions,4,HHS Region,171
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.26
202420,2023-24,Average patients with influenza in ICU,4,HHS Region,8.57
202420,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,126.86
202420,2023-24,Influenza Hospital Admissions,5,HHS Region,75
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.14
202420,2023-24,Average patients with influenza in ICU,5,HHS Region,7.86
202420,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,18.57
202420,2023-24,Influenza Hospital Admissions,6,HHS Region,21
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.05
202420,2023-24,Average patients with influenza in ICU,6,HHS Region,3
202420,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,15
202420,2023-24,Influenza Hospital Admissions,7,HHS Region,18
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.13
202420,2023-24,Average patients with influenza in ICU,7,HHS Region,2
202420,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,9
202420,2023-24,Influenza Hospital Admissions,8,HHS Region,9
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.07
202420,2023-24,Average patients with influenza in ICU,8,HHS Region,1.14
202420,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,73.29
202420,2023-24,Influenza Hospital Admissions,9,HHS Region,126
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.25
202420,2023-24,Average patients with influenza in ICU,9,HHS Region,9.57
202420,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,35.14
202420,2023-24,Influenza Hospital Admissions,10,HHS Region,34
202420,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.24
202420,2023-24,Average patients with influenza in ICU,10,HHS Region,3
202421,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,31.86
202421,2023-24,Influenza Hospital Admissions,1,HHS Region,13
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.09
202421,2023-24,Average patients with influenza in ICU,1,HHS Region,1.29
202421,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,59.57
202421,2023-24,Influenza Hospital Admissions,2,HHS Region,61
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.19
202421,2023-24,Average patients with influenza in ICU,2,HHS Region,5.43
202421,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,113.29
202421,2023-24,Influenza Hospital Admissions,3,HHS Region,120
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.39
202421,2023-24,Average patients with influenza in ICU,3,HHS Region,25.86
202421,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,144
202421,2023-24,Influenza Hospital Admissions,4,HHS Region,148
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.22
202421,2023-24,Average patients with influenza in ICU,4,HHS Region,11
202421,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,49.71
202421,2023-24,Influenza Hospital Admissions,5,HHS Region,56
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.11
202421,2023-24,Average patients with influenza in ICU,5,HHS Region,10.14
202421,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,20.43
202421,2023-24,Influenza Hospital Admissions,6,HHS Region,28
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.07
202421,2023-24,Average patients with influenza in ICU,6,HHS Region,5.29
202421,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,13.29
202421,2023-24,Influenza Hospital Admissions,7,HHS Region,17
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.12
202421,2023-24,Average patients with influenza in ICU,7,HHS Region,2.14
202421,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,11.57
202421,2023-24,Influenza Hospital Admissions,8,HHS Region,18
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.15
202421,2023-24,Average patients with influenza in ICU,8,HHS Region,1.43
202421,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,86.57
202421,2023-24,Influenza Hospital Admissions,9,HHS Region,109
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.21
202421,2023-24,Average patients with influenza in ICU,9,HHS Region,12.71
202421,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,25.57
202421,2023-24,Influenza Hospital Admissions,10,HHS Region,37
202421,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.26
202421,2023-24,Average patients with influenza in ICU,10,HHS Region,2.43
202422,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,25.57
202422,2023-24,Influenza Hospital Admissions,1,HHS Region,11
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.07
202422,2023-24,Average patients with influenza in ICU,1,HHS Region,0.29
202422,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,47.29
202422,2023-24,Influenza Hospital Admissions,2,HHS Region,48
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.15
202422,2023-24,Average patients with influenza in ICU,2,HHS Region,5
202422,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,95.14
202422,2023-24,Influenza Hospital Admissions,3,HHS Region,129
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.42
202422,2023-24,Average patients with influenza in ICU,3,HHS Region,15.86
202422,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,123.43
202422,2023-24,Influenza Hospital Admissions,4,HHS Region,147
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.22
202422,2023-24,Average patients with influenza in ICU,4,HHS Region,8.14
202422,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,40.29
202410,2023-24,Influenza Hospital Admissions,3,HHS Region,1076
202422,2023-24,Influenza Hospital Admissions,5,HHS Region,37
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.07
202422,2023-24,Average patients with influenza in ICU,5,HHS Region,7.57
202422,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,21.43
202422,2023-24,Influenza Hospital Admissions,6,HHS Region,24
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.06
202422,2023-24,Average patients with influenza in ICU,6,HHS Region,5.71
202422,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,11.29
202422,2023-24,Influenza Hospital Admissions,7,HHS Region,8
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.06
202422,2023-24,Average patients with influenza in ICU,7,HHS Region,1.71
202422,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,8
202422,2023-24,Influenza Hospital Admissions,8,HHS Region,12
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.1
202422,2023-24,Average patients with influenza in ICU,8,HHS Region,0
202422,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,90.86
202422,2023-24,Influenza Hospital Admissions,9,HHS Region,127
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.25
202422,2023-24,Average patients with influenza in ICU,9,HHS Region,12
202422,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,31
202422,2023-24,Influenza Hospital Admissions,10,HHS Region,41
202422,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.29
202422,2023-24,Average patients with influenza in ICU,10,HHS Region,4.14
202423,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,22.71
202423,2023-24,Influenza Hospital Admissions,1,HHS Region,6
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.04
202423,2023-24,Average patients with influenza in ICU,1,HHS Region,0.29
202423,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,33.14
202423,2023-24,Influenza Hospital Admissions,2,HHS Region,39
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.12
202423,2023-24,Average patients with influenza in ICU,2,HHS Region,7.86
202423,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,69.29
202423,2023-24,Influenza Hospital Admissions,3,HHS Region,87
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.28
202423,2023-24,Average patients with influenza in ICU,3,HHS Region,11.14
202423,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,128.29
202423,2023-24,Influenza Hospital Admissions,4,HHS Region,146
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.22
202423,2023-24,Average patients with influenza in ICU,4,HHS Region,8.43
202423,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,26.57
202423,2023-24,Influenza Hospital Admissions,5,HHS Region,25
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.05
202423,2023-24,Average patients with influenza in ICU,5,HHS Region,4.43
202423,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,9.14
202423,2023-24,Influenza Hospital Admissions,6,HHS Region,17
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.04
202423,2023-24,Average patients with influenza in ICU,6,HHS Region,1.57
202423,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,9.14
202423,2023-24,Influenza Hospital Admissions,7,HHS Region,7
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.05
202423,2023-24,Average patients with influenza in ICU,7,HHS Region,0.71
202423,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,8.43
202423,2023-24,Influenza Hospital Admissions,8,HHS Region,9
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.07
202423,2023-24,Average patients with influenza in ICU,8,HHS Region,0.14
202423,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,87.29
202423,2023-24,Influenza Hospital Admissions,9,HHS Region,109
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.21
202423,2023-24,Average patients with influenza in ICU,9,HHS Region,9.71
202423,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,33.43
202423,2023-24,Influenza Hospital Admissions,10,HHS Region,58
202423,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.4
202423,2023-24,Average patients with influenza in ICU,10,HHS Region,2.86
202424,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,20.86
202424,2023-24,Influenza Hospital Admissions,1,HHS Region,5
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.03
202424,2023-24,Average patients with influenza in ICU,1,HHS Region,1
202424,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,31.86
202424,2023-24,Influenza Hospital Admissions,2,HHS Region,41
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.13
202424,2023-24,Average patients with influenza in ICU,2,HHS Region,7.29
202424,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,76.29
202424,2023-24,Influenza Hospital Admissions,3,HHS Region,120
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.39
202424,2023-24,Average patients with influenza in ICU,3,HHS Region,13.43
202424,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,113.29
202424,2023-24,Influenza Hospital Admissions,4,HHS Region,140
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.21
202424,2023-24,Average patients with influenza in ICU,4,HHS Region,8.57
202424,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,23.86
202424,2023-24,Influenza Hospital Admissions,5,HHS Region,25
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.05
202424,2023-24,Average patients with influenza in ICU,5,HHS Region,3.71
202424,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,5.14
202424,2023-24,Influenza Hospital Admissions,6,HHS Region,11
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.03
202424,2023-24,Average patients with influenza in ICU,6,HHS Region,1.14
202424,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,6
202424,2023-24,Influenza Hospital Admissions,7,HHS Region,5
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.04
202424,2023-24,Average patients with influenza in ICU,7,HHS Region,1
202424,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,8
202424,2023-24,Influenza Hospital Admissions,8,HHS Region,9
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.07
202424,2023-24,Average patients with influenza in ICU,8,HHS Region,0
202424,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,79.57
202424,2023-24,Influenza Hospital Admissions,9,HHS Region,127
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.25
202424,2023-24,Average patients with influenza in ICU,9,HHS Region,9.29
202424,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,27.14
202424,2023-24,Influenza Hospital Admissions,10,HHS Region,29
202424,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.2
202424,2023-24,Average patients with influenza in ICU,10,HHS Region,4.86
202425,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,18.57
202425,2023-24,Influenza Hospital Admissions,1,HHS Region,4
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.03
202425,2023-24,Average patients with influenza in ICU,1,HHS Region,0.71
202425,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,26.43
202425,2023-24,Influenza Hospital Admissions,2,HHS Region,33
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.1
202425,2023-24,Average patients with influenza in ICU,2,HHS Region,5.14
202425,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,69.29
202425,2023-24,Influenza Hospital Admissions,3,HHS Region,76
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.25
202425,2023-24,Average patients with influenza in ICU,3,HHS Region,12
202425,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,122.86
202425,2023-24,Influenza Hospital Admissions,4,HHS Region,115
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.17
202425,2023-24,Average patients with influenza in ICU,4,HHS Region,9.71
202425,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,26.71
202425,2023-24,Influenza Hospital Admissions,5,HHS Region,27
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.05
202431,2023-24,Average patients with influenza in ICU,6,HHS Region,2.57
202340,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,22.14
202340,2023-24,Influenza Hospital Admissions,1,HHS Region,24
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.16
202340,2023-24,Average patients with influenza in ICU,1,HHS Region,3.57
202340,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,111.71
202340,2023-24,Influenza Hospital Admissions,2,HHS Region,158
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.5
202340,2023-24,Average patients with influenza in ICU,2,HHS Region,10
202340,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,85.43
202340,2023-24,Influenza Hospital Admissions,3,HHS Region,98
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.32
202340,2023-24,Average patients with influenza in ICU,3,HHS Region,13.57
202340,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,359.71
202340,2023-24,Influenza Hospital Admissions,4,HHS Region,406
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.61
202340,2023-24,Average patients with influenza in ICU,4,HHS Region,100.14
202340,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,79.57
202340,2023-24,Influenza Hospital Admissions,5,HHS Region,77
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.15
202340,2023-24,Average patients with influenza in ICU,5,HHS Region,11.14
202340,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,95.57
202340,2023-24,Influenza Hospital Admissions,6,HHS Region,169
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.4
202340,2023-24,Average patients with influenza in ICU,6,HHS Region,13.29
202340,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,24.29
202340,2023-24,Influenza Hospital Admissions,7,HHS Region,42
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.3
202340,2023-24,Average patients with influenza in ICU,7,HHS Region,3.43
202340,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,13.29
202340,2023-24,Influenza Hospital Admissions,8,HHS Region,19
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.15
202340,2023-24,Average patients with influenza in ICU,8,HHS Region,0.29
202340,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,63.43
202340,2023-24,Influenza Hospital Admissions,9,HHS Region,75
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.15
202340,2023-24,Average patients with influenza in ICU,9,HHS Region,7.43
202340,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,20.71
202340,2023-24,Influenza Hospital Admissions,10,HHS Region,19
202340,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.13
202340,2023-24,Average patients with influenza in ICU,10,HHS Region,2
202404,2023-24,Influenza Hospital Admissions,2,HHS Region,1313
202425,2023-24,Average patients with influenza in ICU,5,HHS Region,5.14
202341,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,21
202341,2023-24,Influenza Hospital Admissions,1,HHS Region,24
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.16
202341,2023-24,Average patients with influenza in ICU,1,HHS Region,2.86
202341,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,117.57
202341,2023-24,Influenza Hospital Admissions,2,HHS Region,133
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.42
202341,2023-24,Average patients with influenza in ICU,2,HHS Region,11.43
202341,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,81.43
202341,2023-24,Influenza Hospital Admissions,3,HHS Region,102
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.33
202341,2023-24,Average patients with influenza in ICU,3,HHS Region,11.57
202341,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,372.71
202341,2023-24,Influenza Hospital Admissions,4,HHS Region,397
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.59
202341,2023-24,Average patients with influenza in ICU,4,HHS Region,103
202341,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,81.71
202341,2023-24,Influenza Hospital Admissions,5,HHS Region,91
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.17
202341,2023-24,Average patients with influenza in ICU,5,HHS Region,7.71
202341,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,136.29
202341,2023-24,Influenza Hospital Admissions,6,HHS Region,254
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.59
202341,2023-24,Average patients with influenza in ICU,6,HHS Region,29.29
202341,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,22
202341,2023-24,Influenza Hospital Admissions,7,HHS Region,38
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.27
202341,2023-24,Average patients with influenza in ICU,7,HHS Region,3.14
202341,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,10.86
202341,2023-24,Influenza Hospital Admissions,8,HHS Region,23
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.19
202341,2023-24,Average patients with influenza in ICU,8,HHS Region,0.43
202341,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,79.86
202341,2023-24,Influenza Hospital Admissions,9,HHS Region,105
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.2
202341,2023-24,Average patients with influenza in ICU,9,HHS Region,8.86
202341,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,21.14
202341,2023-24,Influenza Hospital Admissions,10,HHS Region,25
202341,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.17
202341,2023-24,Average patients with influenza in ICU,10,HHS Region,1.43
202342,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,18.86
202342,2023-24,Influenza Hospital Admissions,1,HHS Region,19
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.13
202342,2023-24,Average patients with influenza in ICU,1,HHS Region,2.43
202342,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,145.43
202342,2023-24,Influenza Hospital Admissions,2,HHS Region,174
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.55
202342,2023-24,Average patients with influenza in ICU,2,HHS Region,17.57
202342,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,90
202342,2023-24,Influenza Hospital Admissions,3,HHS Region,131
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.42
202342,2023-24,Average patients with influenza in ICU,3,HHS Region,16
202342,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,415.71
202342,2023-24,Influenza Hospital Admissions,4,HHS Region,480
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.72
202342,2023-24,Average patients with influenza in ICU,4,HHS Region,121
202342,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,96.57
202342,2023-24,Influenza Hospital Admissions,5,HHS Region,102
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.19
